action	status	kind	source	destination	bytes	reason
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/D1-erm-S0-3K-21094927	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/D1-erm-S0-3K-21094927	7059173	failed-retry
retain	active	run-directory	/project/6085198/kulbear/wildfire/runs/D1-erm-S0-3K-21102676	-	64964942	retained-t1
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/D1-kl-S0-3K-21094928	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/D1-kl-S0-3K-21094928	7059153	failed-retry
retain	active	run-directory	/project/6085198/kulbear/wildfire/runs/D1-kl-S0-3K-21102677	-	64960454	retained-t1
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/D10-RPP-S0-3K-21120041	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/D10-RPP-S0-3K-21120041	65185787	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/D11-CRPP-S0-3K-21121610	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/D11-CRPP-S0-3K-21121610	65207452	rejected
retain	active	run-directory	/project/6085198/kulbear/wildfire/runs/D12-SARP-S0-3K-21122172	-	65224911	retained-t1
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/D13-SARP-T5-S0-3K-21149785	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/D13-SARP-T5-S0-3K-21149785	66341537	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/D13-STD-T5-S0-3K-21149784	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/D13-STD-T5-S0-3K-21149784	66330992	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/D2-rnc-S0-3K-21094930	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/D2-rnc-S0-3K-21094930	64970207	rejected
retain	active	run-directory	/project/6085198/kulbear/wildfire/runs/D2-standard-S0-3K-21094929	-	64976750	retained-t1
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/D4-token-S0-3K-21103691	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/D4-token-S0-3K-21103691	64986995	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/D5-CIWC-S0-3K-21111043	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/D5-CIWC-S0-3K-21111043	65020166	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/D6-CIRC-S0-3K-21112470	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/D6-CIRC-S0-3K-21112470	65050402	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/D7-CRA-S0-3K-21114921	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/D7-CRA-S0-3K-21114921	65099156	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/D8-FFCA-S0-3K-21116301	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/D8-FFCA-S0-3K-21116301	65121443	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/D9-CEPR-S0-3K-21117395	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/D9-CEPR-S0-3K-21117395	65134893	rejected
retain	active	run-directory	/project/6085198/kulbear/wildfire/runs/corrected-B0-S0-3K-21093263	-	181964472	retained-t1
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/corrected-B1-S0-3K-21093264	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/corrected-B1-S0-3K-21093264	184337483	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/corrected-B1-S0-3K-21096854	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/corrected-B1-S0-3K-21096854	185127850	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/corrected-B1-S0-3K-21102675	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/corrected-B1-S0-3K-21102675	185213125	out-of-scope-t5
retain	active	run-directory	/project/6085198/kulbear/wildfire/runs/corrected-B2-S0-3K-21093265	-	182044311	retained-t1
retain	active	run-directory	/project/6085198/kulbear/wildfire/runs/corrected-B3-S0-3K-21093266	-	182047561	retained-t1
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/corrected-B4-S0-3K-21094665	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/corrected-B4-S0-3K-21094665	182053301	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/corrected-B5-S0-3K-21144563	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/corrected-B5-S0-3K-21144563	185488282	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/fast-track-C00-20346980	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/fast-track-C00-20346980	175002386	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/fast-track-C00-S0-10K-20353582	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/fast-track-C00-S0-10K-20353582	178487571	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/fast-track-C00-S1-10K-20356045	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/fast-track-C00-S1-10K-20356045	184876644	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/fast-track-C00-S2-10K-20356047	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/fast-track-C00-S2-10K-20356047	184876644	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/fast-track-C02-20346981	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/fast-track-C02-20346981	178161577	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/fast-track-C02-S0-10K-20353584	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/fast-track-C02-S0-10K-20353584	181662569	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/fast-track-C02-S1-10K-20356044	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/fast-track-C02-S1-10K-20356044	188051642	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/fast-track-C02-S2-10K-20356046	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/fast-track-C02-S2-10K-20356046	188051642	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/fast-track-promotions-20260823	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/fast-track-promotions-20260823	3830	invalid-resolver
